Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709390410,2,GET,/randStr,3.300000,0.000000,7,8,9,9,10,11,19,19,19,19,19,59,0,7,9.59092449151501,4.151335000187828,126.11271000014312,2645.7118644067796
1709390410,2,GET,/slow,1.000000,0.000000,1000,1100,1100,1100,1600,1700,1700,1700,1700,1700,1700,16,0,930.0,1030.5213747500943,398.96885400003157,1995.3856470001483,0.0
1709390410,2,,Aggregated,7.000000,0.000000,19,36,49,56,700,1100,1600,1700,1700,1700,1700,109,0,11,170.2877802935783,4.151335000187828,1995.3856470001483,1472.3761467889908
1709390411,2,POST,/postData,3.000000,0.000000,37,49,54,56,68,77,80,80,80,80,80,38,0,37,45.50562371050067,30.931849999888072,79.55523100008577,129.3421052631579
1709390411,2,GET,/randStr,4.200000,0.000000,7,8,9,9,10,11,19,19,19,19,19,63,0,7,9.494959349193243,4.151335000187828,126.11271000014312,2664.9206349206347
1709390411,2,GET,/slow,1.000000,0.000000,1100,1100,1600,1600,1700,1900,1900,1900,1900,1900,1900,17,0,1000.0,1083.1707054118638,398.96885400003157,1995.3856470001483,0.0
1709390411,2,,Aggregated,8.200000,0.000000,19,36,49,56,700,1100,1700,1900,1900,1900,1900,118,0,11,175.77371298304985,4.151335000187828,1995.3856470001483,1464.449152542373
1709390412,2,POST,/postData,3.200000,0.000000,39,53,55,56,74,77,80,80,80,80,80,42,0,37,46.321678023798,30.931849999888072,79.55523100008577,130.61904761904762
1709390412,2,GET,/randStr,4.800000,0.000000,7,8,9,9,10,11,19,19,19,19,19,65,0,7,9.438131138449535,4.151335000187828,126.11271000014312,2708.8307692307694
1709390412,2,GET,/slow,1.200000,0.000000,1100,1100,1600,1700,1900,1900,1900,1900,1900,1900,1900,19,0,1000.0,1123.1583425263987,398.96885400003157,1995.3856470001483,0.0
1709390412,2,,Aggregated,9.200000,0.000000,32,37,53,59,710,1100,1700,1900,1900,1900,1900,126,0,15,189.67458340476438,4.151335000187828,1995.3856470001483,1440.952380952381
1709390413,2,POST,/postData,3.000000,0.000000,37,44,53,54,59,76,80,80,80,80,80,48,0,37,45.01371912499508,30.931849999888072,79.55523100008577,127.47916666666667
1709390413,2,GET,/randStr,4.400000,0.000000,7,8,8,9,10,12,14,19,19,19,19,70,0,7,9.370901928566257,4.151335000187828,126.11271000014312,2727.3571428571427
1709390413,2,GET,/slow,1.200000,0.000000,1100,1100,1600,1700,1900,1900,1900,1900,1900,1900,1900,20,0,1000.0,1102.8082133500902,398.96885400003157,1995.3856470001483,0.0
1709390413,2,,Aggregated,8.600000,0.000000,32,36,48,55,710,1100,1700,1900,1900,1900,1900,138,0,19,180.23757913044352,4.151335000187828,1995.3856470001483,1427.7826086956522
1709390414,2,POST,/postData,3.400000,0.000000,36,40,48,53,56,68,77,77,77,77,77,49,0,37,44.77327312244078,30.931849999888072,79.55523100008577,126.36734693877551
1709390414,2,GET,/randStr,4.800000,0.000000,7,7,8,9,10,12,14,19,19,19,19,72,0,7,9.267018444436165,4.151335000187828,126.11271000014312,2729.6944444444443
1709390414,2,GET,/slow,1.200000,0.000000,1000,1100,1600,1700,1900,1900,1900,1900,1900,1900,1900,22,0,1000.0,1124.2712133182729,398.96885400003157,1995.3856470001483,0.0
1709390414,2,,Aggregated,9.400000,0.000000,32,36,46,55,720,1100,1700,1900,1900,1900,1900,143,0,31,192.97260422378324,4.151335000187828,1995.3856470001483,1417.6923076923076
1709390415,3,POST,/postData,3.700000,0.000000,36,37,39,44,53,76,77,77,77,77,77,54,0,36,43.839987796285705,30.931849999888072,79.55523100008577,125.46296296296296
1709390415,3,GET,/randStr,4.900000,0.000000,7,8,8,9,10,14,14,24,24,24,24,78,0,7,9.40045130769599,4.151335000187828,126.11271000014312,2756.0641025641025
1709390415,3,GET,/slow,1.300000,0.000000,1000,1100,1600,1700,1900,1900,1900,1900,1900,1900,1900,22,0,1000.0,1124.2712133182729,398.96885400003157,1995.3856470001483,0.0
1709390415,3,,Aggregated,9.900000,0.000000,14,36,37,44,710,1100,1700,1900,1900,1900,1900,154,0,24,180.7439041298813,4.151335000187828,1995.3856470001483,1439.922077922078
1709390416,3,POST,/postData,4.200000,0.000000,36,37,39,44,53,76,77,77,77,77,77,56,0,36,43.403578517841524,30.298932999812678,79.55523100008577,124.94642857142857
1709390416,3,GET,/randStr,5.200000,0.000000,7,8,8,9,10,14,14,24,24,24,24,84,0,7,9.281821476190002,4.151335000187828,126.11271000014312,2829.845238095238
1709390416,3,GET,/slow,1.500000,0.000000,1100,1700,1800,1900,1900,2000,2000,2000,2000,2000,2000,24,0,1000.0,1188.8967184584278,398.96885400003157,1998.4619990000283,0.0
1709390416,3,,Aggregated,10.900000,0.000000,14,35,37,44,980,1600,1900,1900,2000,2000,2000,164,0,19,193.55972343903264,4.151335000187828,1998.4619990000283,1492.0975609756097
1709390417,3,POST,/postData,4.300000,0.000000,37,39,41,46,55,76,77,77,77,77,77,59,0,36,43.17679313558305,30.298932999812678,79.55523100008577,125.7457627118644
1709390417,3,GET,/randStr,5.200000,0.000000,7,8,9,9,11,14,24,24,24,24,24,89,0,7,9.22114623594854,4.151335000187828,126.11271000014312,2743.438202247191
1709390417,3,GET,/slow,1.500000,0.000000,1600,1800,1900,1900,1900,2000,2000,2000,2000,2000,2000,26,0,1000.0,1201.2758931924125,398.96885400003157,1998.4619990000283,0.0
1709390417,3,,Aggregated,11.000000,0.000000,24,36,40,53,1000,1800,1900,2000,2000,2000,2000,174,0,19,198.8579657069054,4.151335000187828,1998.4619990000283,1445.8908045977012
1709390418,3,POST,/postData,3.600000,0.000000,37,40,46,48,72,76,77,77,77,77,77,60,0,36,43.651101583327545,30.298932999812678,79.55523100008577,124.71666666666667
1709390418,3,GET,/randStr,5.700000,0.000000,8,8,9,9,12,14,24,24,24,24,24,90,0,7,9.208483677775803,4.151335000187828,126.11271000014312,2763.1444444444446
1709390418,3,GET,/slow,1.500000,0.000000,1600,1800,1900,1900,1900,2000,2000,2000,2000,2000,2000,28,0,1000.0,1208.2015518215355,398.96885400003157,1998.4619990000283,0.0
1709390418,3,,Aggregated,10.800000,0.000000,33,39,53,77,1600,1900,1900,2000,2000,2000,2000,178,0,24,209.42400605057563,4.151335000187828,1998.4619990000283,1439.1348314606741
1709390419,3,POST,/postData,3.400000,0.000000,39,41,48,55,72,76,77,77,77,77,77,62,0,37,44.30116401612571,30.298932999812678,79.55523100008577,123.83870967741936
1709390419,3,GET,/randStr,5.300000,0.000000,8,8,9,9,11,14,24,24,24,24,24,95,0,7,9.121317578951436,4.151335000187828,126.11271000014312,2749.0315789473684
1709390419,3,GET,/slow,1.400000,0.000000,1700,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,30,0,1100.0,1241.372554933438,398.96885400003157,1998.4619990000283,0.0
1709390419,3,,Aggregated,10.100000,0.000000,33,40,60,77,1700,1900,2000,2000,2000,2000,2000,187,0,24,218.47258816579313,4.151335000187828,1998.4619990000283,1437.625668449198
1709390420,3,POST,/postData,3.000000,0.000000,37,40,47,53,68,76,77,77,77,77,77,73,0,37,43.42520532877456,30.298932999812678,79.55523100008577,124.34246575342466
1709390420,3,GET,/randStr,4.500000,0.000000,7,8,8,9,10,14,14,24,24,24,24,117,0,7,8.720370307688645,4.151335000187828,126.11271000014312,2691.5470085470088
1709390420,3,GET,/slow,1.500000,0.000000,1700,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,32,0,1100.0,1262.144569656357,398.96885400003157,1998.4619990000283,0.0
1709390420,3,,Aggregated,9.000000,0.000000,14,36,41,55,1000,1900,1900,2000,2000,2000,2000,222,0,13,200.80607902704293,4.151335000187828,1998.4619990000283,1459.4054054054054
1709390421,3,POST,/postData,2.900000,0.000000,36,39,41,46,60,72,76,76,76,76,76,78,0,36,42.943302192317134,30.298932999812678,79.55523100008577,124.65384615384616
1709390421,3,GET,/randStr,4.100000,0.000000,7,8,8,9,10,12,14,24,24,24,24,125,0,7,8.590367968001374,4.151335000187828,126.11271000014312,2684.352
1709390421,3,GET,/slow,1.600000,0.000000,1400,1800,1900,1900,2000,2000,2000,2000,2000,2000,2000,34,0,1100.0,1239.9063332942233,398.96885400003157,1998.4619990000283,0.0
1709390421,3,,Aggregated,8.600000,0.000000,13,36,39,47,1000,1800,1900,2000,2000,2000,2000,237,0,13,196.5408814303987,4.151335000187828,1998.4619990000283,1456.8227848101267
1709390422,3,POST,/postData,2.900000,0.000000,36,37,39,40,56,68,72,72,72,72,72,80,0,36,42.77136203751297,30.298932999812678,79.55523100008577,124.5625
1709390422,3,GET,/randStr,4.100000,0.000000,7,8,8,9,10,13,15,24,24,24,24,132,0,7,8.540507007579077,4.151335000187828,126.11271000014312,2708.537878787879
1709390422,3,GET,/slow,1.600000,0.000000,1400,1700,1800,1900,2000,2000,2000,2000,2000,2000,2000,36,0,1100.0,1237.1600836667717,398.96885400003157,1998.4619990000283,0.0
1709390422,3,,Aggregated,8.600000,0.000000,10,35,37,41,1100,1700,1900,2000,2000,2000,2000,248,0,12,197.93072137098892,4.151335000187828,1998.4619990000283,1481.8225806451612
1709390423,3,POST,/postData,3.900000,0.000000,36,37,39,41,56,68,72,72,72,72,72,83,0,36,42.46841506025692,30.298932999812678,79.55523100008577,123.56626506024097
1709390423,3,GET,/randStr,5.900000,0.000000,7,8,8,9,10,13,15,24,24,24,24,136,0,7,8.553410676473932,4.151335000187828,126.11271000014312,2696.3823529411766
1709390423,3,GET,/slow,1.700000,0.000000,1400,1500,1800,1900,2000,2000,2000,2000,2000,2000,2000,39,0,1200.0,1249.355224538552,398.96885400003157,1998.4619990000283,0.0
